word,language,count,pos
date,en,3,NOUN
change,en,11,NOUN
must,en,50,AUX
our,en,141,PRON
least,en,25,ADJ
something,en,24,PRON
together,en,23,ADV
less,en,24,ADJ
content,en,14,VERB
board,en,4,NOUN
japan,en,9,NOUN
modern,en,5,ADJ
human,en,12,ADJ
half,en,34,NOUN
design,en,24,VERB
event,en,1,NOUN
real,en,8,ADJ
start,en,1,VERB
action,en,1,NOUN
space,en,2,NOUN
star,en,2,NOUN
really,en,14,ADV
china,en,12,NOUN
possible,en,13,ADJ
paul,en,6,PROPN
far,en,27,ADV
minister,en,6,NOUN
lake,en,1,NOUN
married,en,1,ADJ
europe,en,7,PROPN
author,en,14,NOUN
away,en,8,ADV
character,en,4,NOUN
low,en,15,ADJ
michael,en,1,PROPN
light,en,18,NOUN
big,en,8,ADJ
release,en,1,NOUN
want,en,19,VERB
wrote,en,2,VERB
republic,en,1,NOUN
russian,en,3,ADJ
thanks,en,5,NOUN
put,en,31,VERB
race,en,5,NOUN
civil,en,5,ADJ
charles,en,1,PROPN
instead,en,6,ADV
eastern,en,2,ADJ
body,en,41,NOUN
question,en,7,NOUN
italian,en,10,ADJ
week,en,12,NOUN
chief,en,7,ADJ
close,en,8,ADJ
himself,en,11,PRON
upon,en,122,ADP
match,en,2,NOUN
roman,en,12,ADJ
come,en,69,VERB
tour,en,4,NOUN
sea,en,20,NOUN
cross,en,6,NOUN
health,en,11,NOUN
green,en,14,ADJ
probably,en,3,ADV
look,en,50,VERB
win,en,1,VERB
wife,en,23,NOUN
night,en,43,NOUN
middle,en,5,NOUN
african,en,3,ADJ
able,en,9,ADJ
stage,en,5,NOUN
addition,en,4,NOUN
saint,en,10,NOUN
self,en,5,NOUN
itself,en,5,PRON
mother,en,17,NOUN
africa,en,1,PROPN
spanish,en,2,ADJ
grand,en,29,ADJ
fire,en,11,NOUN
gold,en,35,NOUN
female,en,3,ADJ
course,en,2,NOUN
whether,en,15,SCONJ
chinese,en,1,PROPN
size,en,9,NOUN
add,en,16,VERB
peter,en,1,PROPN
across,en,1,ADP
move,en,13,VERB
means,en,1,NOUN
give,en,137,VERB
artist,en,1,NOUN
word,en,35,NOUN
blue,en,2,NOUN
value,en,11,NOUN
christian,en,34,PROPN
private,en,1,ADJ
catholic,en,4,ADJ
view,en,12,NOUN
thus,en,15,ADV
almost,en,35,ADV
seven,en,9,NUM
ever,en,60,ADV
provide,en,6,VERB
future,en,2,ADJ
return,en,31,VERB
quality,en,24,NOUN
front,en,2,NOUN
cover,en,33,VERB
model,en,1,NOUN
read,en,29,VERB
material,en,1,NOUN
strong,en,10,ADJ
coach,en,14,NOUN
henry,en,2,PROPN
mark,en,10,NOUN
attack,en,2,VERB
outside,en,4,NOUN
study,en,9,VERB
brother,en,9,NOUN
throughout,en,1,ADP
writer,en,8,NOUN
musical,en,2,ADJ
nothing,en,69,PRON
border,en,1,VERB
past,en,2,ADJ
writing,en,8,NOUN
interest,en,6,NOUN
medal,en,6,NOUN
dr,en,1,PROPN
fair,en,26,ADJ
search,en,3,NOUN
bay,en,2,NOUN
reference,en,1,NOUN
especially,en,5,ADV
library,en,1,NOUN
management,en,1,NOUN
guitar,en,2,NOUN
hill,en,11,NOUN
sure,en,26,ADJ
historical,en,1,ADJ
daughter,en,12,NOUN
reading,en,1,NOUN
yet,en,62,CCONJ
always,en,35,ADV
actor,en,4,NOUN
natural,en,24,ADJ
clear,en,3,VERB
let,en,20,VERB
ten,en,20,NUM
rule,en,1,NOUN
paris,en,16,PROPN
thought,en,7,NOUN
brown,en,1,ADJ
hand,en,53,NOUN
generally,en,33,ADV
sometimes,en,12,ADV
capital,en,3,NOUN
valley,en,3,NOUN
bank,en,8,NOUN
ground,en,16,NOUN
italy,en,7,PROPN
believe,en,77,VERB
leader,en,2,NOUN
bridge,en,11,NOUN
y,en,3,PROPN
industry,en,3,NOUN
collection,en,6,NOUN
request,en,1,NOUN
soon,en,11,ADV
professor,en,1,NOUN
campaign,en,5,NOUN
theatre,en,2,NOUN
particular,en,29,ADJ
empire,en,18,NOUN
length,en,12,NOUN
additional,en,1,ADJ
market,en,4,NOUN
novel,en,1,NOUN
fourth,en,2,ADJ
mary,en,3,PROPN
sound,en,9,NOUN
child,en,22,NOUN
perhaps,en,37,ADV
idea,en,16,NOUN
eight,en,13,NUM
native,en,6,ADJ
channel,en,1,NOUN
parliament,en,1,NOUN
whose,en,18,PRON
foundation,en,7,NOUN
ice,en,1,NOUN
limited,en,1,ADJ
governor,en,12,NOUN
complete,en,1,VERB
account,en,40,NOUN
none,en,15,PRON
poland,en,2,PROPN
behind,en,11,ADP
taking,en,1,NOUN
mountain,en,15,NOUN
likely,en,2,ADJ
sir,en,11,PROPN
thing,en,71,NOUN
square,en,8,NOUN
try,en,10,VERB
woman,en,81,NOUN
officer,en,13,NOUN
greek,en,43,ADJ
recent,en,1,ADJ
money,en,23,NOUN
saw,en,1,VERB
true,en,44,ADJ
regular,en,7,ADJ
trade,en,10,NOUN
mr,en,35,PROPN
degree,en,10,NOUN
birth,en,5,NOUN
sun,en,9,NOUN
earth,en,11,NOUN
journal,en,1,NOUN
beginning,en,2,NOUN
famous,en,17,ADJ
religious,en,1,ADJ
appear,en,39,VERB
god,en,22,PROPN
bit,en,5,NOUN
structure,en,3,NOUN
rural,en,1,ADJ
certain,en,19,ADJ
quite,en,16,ADV
spain,en,1,PROPN
whole,en,50,ADJ
joseph,en,1,PROPN
lord,en,6,NOUN
assembly,en,12,NOUN
queen,en,11,NOUN
security,en,2,NOUN
operation,en,3,NOUN
call,en,64,VERB
russia,en,1,PROPN
prince,en,21,NOUN
mean,en,20,ADJ
staff,en,1,NOUN
towards,en,2,SCONJ
agree,en,5,VERB
bad,en,14,ADJ
nature,en,24,NOUN
captain,en,7,NOUN
mount,en,10,VERB
hard,en,17,ADJ
saying,en,1,NOUN
meet,en,30,VERB
box,en,5,NOUN
success,en,1,NOUN
rest,en,22,NOUN
matter,en,9,NOUN
particularly,en,17,ADV
wide,en,2,ADJ
month,en,20,NOUN
care,en,26,NOUN
commission,en,4,NOUN
plan,en,1,NOUN
therefore,en,7,ADV
practice,en,1,NOUN
command,en,19,NOUN
entire,en,7,ADJ
en,en,1,X
seem,en,57,VERB
master,en,12,NOUN
stop,en,8,VERB
cannot,en,2,AUX
feature,en,5,NOUN
experience,en,1,NOUN
silver,en,22,NOUN
secretary,en,1,NOUN
dutch,en,4,ADJ
le,en,2,PROPN
themselves,en,34,PRON
youth,en,1,NOUN
iii,en,5,NUM
heart,en,18,NOUN
room,en,38,NOUN
stone,en,26,NOUN
deal,en,16,NOUN
dead,en,8,ADJ
key,en,1,NOUN
turn,en,24,VERB
plant,en,12,VERB
whom,en,25,PRON
leave,en,53,VERB
feel,en,7,VERB
numerous,en,11,ADJ
ancient,en,31,ADJ
attempt,en,2,VERB
picture,en,17,NOUN
fiction,en,1,NOUN
majority,en,1,NOUN
edward,en,1,PROPN
annual,en,1,ADJ
claim,en,4,NOUN
seat,en,14,NOUN
dance,en,17,VERB
prize,en,4,NOUN
georgia,en,1,PROPN
port,en,2,NOUN
castle,en,14,NOUN
pass,en,60,VERB
transport,en,3,VERB
fall,en,30,VERB
wing,en,1,NOUN
opinion,en,23,NOUN
commander,en,1,NOUN
fort,en,1,NOUN
effect,en,15,NOUN
fine,en,104,ADJ
purpose,en,8,NOUN
winter,en,13,NOUN
appearance,en,11,NOUN
asian,en,2,ADJ
kind,en,26,NOUN
et,en,21,X
till,en,39,ADP
entry,en,1,NOUN
asia,en,6,PROPN
sense,en,8,NOUN
meaning,en,2,NOUN
map,en,1,NOUN
bishop,en,3,NOUN
rate,en,1,NOUN
voice,en,3,NOUN
jack,en,1,NOUN
justice,en,6,NOUN
britain,en,1,PROPN
double,en,3,ADJ
temple,en,7,NOUN
sister,en,32,NOUN
nine,en,3,NUM
table,en,14,NOUN
else,en,9,ADJ
friend,en,27,NOUN
unknown,en,5,ADJ
loss,en,6,NOUN
architecture,en,7,NOUN
upper,en,3,ADJ
contract,en,4,VERB
face,en,44,NOUN
girl,en,12,NOUN
clearly,en,1,ADV
politics,en,1,NOUN
cause,en,6,NOUN
volume,en,1,NOUN
except,en,15,ADP
oil,en,1,NOUN
victory,en,2,NOUN
regiment,en,1,NOUN
allow,en,9,VERB
branch,en,6,NOUN
train,en,5,NOUN
paper,en,2,NOUN
remains,en,16,NOUN
wrong,en,2,NOUN
direct,en,3,VERB
mass,en,1,NOUN
comedy,en,6,NOUN
knowledge,en,8,NOUN
meeting,en,2,NOUN
fight,en,6,VERB
figure,en,30,NOUN
camp,en,3,NOUN
variety,en,13,NOUN
owner,en,3,NOUN
heavy,en,2,ADJ
alexander,en,1,PROPN
alone,en,4,ADJ
understand,en,10,VERB
daily,en,4,ADV
latin,en,3,ADJ
dark,en,3,ADJ
attention,en,2,NOUN
religion,en,19,NOUN
mind,en,22,NOUN
cut,en,7,VERB
descent,en,1,NOUN
nearly,en,1,ADV
highly,en,1,ADV
cast,en,3,VERB
write,en,59,VERB
inside,en,3,NOUN
solid,en,1,ADJ
authority,en,4,NOUN
mention,en,16,VERB
continue,en,13,VERB
cost,en,2,VERB
vice,en,3,NOUN
drive,en,3,VERB
notice,en,10,NOUN
hope,en,26,VERB
spring,en,4,NOUN
opera,en,10,NOUN
simple,en,2,ADJ
founder,en,1,NOUN
husband,en,28,NOUN
useful,en,3,ADJ
necessary,en,13,ADJ
importance,en,1,NOUN
boy,en,7,NOUN
nation,en,8,NOUN
golden,en,2,ADJ
faith,en,4,NOUN
hot,en,12,ADJ
entertainment,en,6,NOUN
creation,en,1,NOUN
tower,en,7,NOUN
marriage,en,8,NOUN
naval,en,1,ADJ
peace,en,3,NOUN
poor,en,26,ADJ
judge,en,14,VERB
hold,en,19,VERB
brazil,en,1,PROPN
beyond,en,2,ADP
fifth,en,1,ADJ
increase,en,5,VERB
des,en,1,X
hour,en,23,NOUN
difficult,en,4,ADJ
ability,en,1,NOUN
host,en,1,NOUN
wall,en,14,NOUN
immediately,en,18,ADV
troops,en,2,NOUN
emperor,en,38,NOUN
letter,en,63,NOUN
couple,en,3,NOUN
fellow,en,14,NOUN
duke,en,10,NOUN
tell,en,102,VERB
gallery,en,18,NOUN
follow,en,28,VERB
tree,en,26,NOUN
protection,en,5,NOUN
count,en,16,NOUN
situation,en,11,NOUN
classical,en,1,ADJ
lady,en,128,NOUN
influence,en,2,NOUN
address,en,4,VERB
consider,en,12,VERB
machine,en,10,NOUN
serve,en,26,VERB
ministry,en,1,NOUN
blood,en,3,NOUN
distance,en,8,NOUN
bottom,en,9,NOUN
formerly,en,3,ADV
dispute,en,5,NOUN
scene,en,16,NOUN
method,en,2,NOUN
berlin,en,1,PROPN
iron,en,1,NOUN
otherwise,en,2,ADV
positive,en,2,ADJ
imperial,en,9,ADJ
ball,en,6,NOUN
quickly,en,1,ADV
possibly,en,11,ADV
fish,en,3,NOUN
senate,en,2,PROPN
gun,en,4,NOUN
check,en,3,VERB
sign,en,7,NOUN
sweden,en,1,PROPN
doctor,en,5,NOUN
crime,en,1,NOUN
stand,en,20,VERB
answer,en,38,VERB
sex,en,6,NOUN
rail,en,1,VERB
die,en,22,VERB
approach,en,3,VERB
sentence,en,3,NOUN
root,en,2,VERB
ago,en,8,ADV
miss,en,2,VERB
horse,en,27,NOUN
wood,en,17,NOUN
pretty,en,11,ADJ
rank,en,20,NOUN
direction,en,1,NOUN
guide,en,1,NOUN
nor,en,25,CCONJ
remove,en,9,VERB
reserve,en,1,VERB
weight,en,1,NOUN
ask,en,20,VERB
fighting,en,1,NOUN
widely,en,1,ADV
rose,en,11,NOUN
treatment,en,2,NOUN
certainly,en,32,ADV
fame,en,2,NOUN
travel,en,22,VERB
break,en,12,VERB
produce,en,2,VERB
capacity,en,1,NOUN
exchange,en,7,NOUN
translation,en,6,NOUN
bring,en,28,VERB
charge,en,3,VERB
estate,en,6,NOUN
piece,en,37,NOUN
growth,en,1,NOUN
trust,en,1,VERB
murder,en,3,NOUN
twenty,en,23,NUM
commonly,en,17,ADV
avoid,en,12,VERB
revolution,en,1,NOUN
fully,en,3,ADV
aug,en,3,PROPN
medicine,en,1,NOUN
garden,en,31,NOUN
reach,en,8,VERB
turkey,en,8,PROPN
survey,en,1,VERB
height,en,6,NOUN
morning,en,12,NOUN
deep,en,8,ADJ
argument,en,2,NOUN
worth,en,15,ADJ
falls,en,1,NOUN
learning,en,7,NOUN
pay,en,17,VERB
choice,en,7,NOUN
principal,en,6,ADJ
secret,en,8,NOUN
poet,en,5,NOUN
build,en,49,VERB
remain,en,20,VERB
yellow,en,2,ADJ
guard,en,13,NOUN
grant,en,1,VERB
freedom,en,3,NOUN
twice,en,3,ADV
taylor,en,2,NOUN
quarter,en,3,NOUN
rome,en,4,PROPN
copy,en,4,NOUN
easily,en,25,ADV
thank,en,6,VERB
description,en,22,NOUN
sort,en,47,NOUN
cell,en,2,NOUN
concert,en,2,NOUN
improve,en,7,VERB
holy,en,2,ADJ
sub,en,1,NOUN
safety,en,2,NOUN
painting,en,6,NOUN
price,en,5,NOUN
entirely,en,24,ADV
message,en,1,NOUN
serious,en,1,ADJ
memory,en,3,NOUN
join,en,12,VERB
fox,en,2,NOUN
share,en,6,VERB
philosophy,en,3,NOUN
floor,en,3,NOUN
labour,en,4,NOUN
yard,en,3,NOUN
offer,en,13,VERB
guest,en,1,NOUN
economy,en,1,NOUN
storm,en,4,NOUN
mile,en,15,NOUN
bowl,en,1,NOUN
damage,en,1,NOUN
ben,en,3,PROPN
fleet,en,1,NOUN
theme,en,3,NOUN
display,en,4,VERB
ring,en,4,NOUN
joint,en,1,ADJ
deputy,en,2,NOUN
difference,en,10,NOUN
animal,en,5,NOUN
exactly,en,20,ADV
stay,en,27,VERB
palace,en,29,NOUN
understanding,en,3,NOUN
establish,en,4,VERB
poetry,en,7,NOUN
turkish,en,56,ADJ
apparently,en,2,ADV
row,en,12,NOUN
eye,en,41,NOUN
lewis,en,2,PROPN
austria,en,3,PROPN
indeed,en,31,ADV
draw,en,20,VERB
application,en,1,NOUN
steel,en,1,NOUN
presence,en,1,NOUN
earl,en,1,PROPN
wild,en,9,ADJ
easy,en,32,ADJ
happy,en,13,ADJ
save,en,2,VERB
chance,en,5,NOUN
prevent,en,2,VERB
object,en,4,NOUN
spread,en,4,VERB
defeat,en,1,NOUN
cape,en,3,PROPN
greece,en,1,PROPN
express,en,8,VERB
intelligence,en,3,NOUN
connection,en,1,NOUN
portuguese,en,1,ADJ
plot,en,1,NOUN
firm,en,1,NOUN
proper,en,11,ADJ
receive,en,44,VERB
frequently,en,1,ADV
visit,en,30,VERB
portion,en,2,NOUN
residence,en,4,NOUN
moon,en,3,NOUN
limit,en,2,NOUN
minute,en,3,NOUN
wind,en,5,NOUN
crown,en,8,NOUN
step,en,9,NOUN
unable,en,1,ADJ
armed,en,2,ADJ
cold,en,22,ADJ
alliance,en,1,NOUN
heat,en,9,NOUN
credit,en,2,NOUN
boat,en,7,NOUN
iv,en,4,NUM
kill,en,13,VERB
sixth,en,3,ADJ
colonel,en,1,NOUN
weak,en,2,ADJ
rise,en,10,VERB
supply,en,2,VERB
tradition,en,1,NOUN
spirit,en,8,NOUN
sunday,en,6,PROPN
climate,en,9,NOUN
passing,en,1,NOUN
gone,en,1,ADJ
pope,en,2,NOUN
glass,en,6,NOUN
contain,en,1,VERB
defence,en,2,NOUN
rich,en,46,ADJ
myself,en,38,PRON
fast,en,7,ADJ
speech,en,2,NOUN
proposal,en,1,NOUN
straight,en,1,ADV
ff,en,1,NOUN
fashion,en,24,NOUN
foot,en,27,NOUN
orange,en,5,ADJ
newly,en,2,ADV
require,en,3,VERB
egypt,en,1,PROPN
audience,en,6,NOUN
motion,en,6,NOUN
hungarian,en,8,ADJ
arab,en,1,PROPN
unlike,en,2,ADP
begin,en,24,VERB
setting,en,1,NOUN
criminal,en,2,NOUN
commonwealth,en,1,NOUN
finish,en,1,VERB
accept,en,5,VERB
contest,en,1,VERB
beat,en,2,VERB
extremely,en,32,ADV
sorry,en,10,ADJ
cathedral,en,2,NOUN
advance,en,3,VERB
reality,en,1,NOUN
adam,en,1,PROPN
enemy,en,2,NOUN
respect,en,21,NOUN
rare,en,2,ADJ
explain,en,5,VERB
killing,en,1,NOUN
neither,en,20,CCONJ
fan,en,2,NOUN
painter,en,3,NOUN
universe,en,1,NOUN
apply,en,2,VERB
aid,en,1,NOUN
driver,en,2,NOUN
baby,en,2,NOUN
denmark,en,1,PROPN
calling,en,3,NOUN
weather,en,11,NOUN
powerful,en,4,ADJ
portugal,en,1,PROPN
bird,en,2,NOUN
speak,en,58,VERB
domestic,en,1,ADJ
ali,en,1,PROPN
false,en,6,ADJ
perform,en,7,VERB
strength,en,5,NOUN
hungary,en,14,PROPN
concern,en,5,VERB
keeping,en,1,NOUN
magic,en,1,NOUN
treaty,en,2,NOUN
antonio,en,1,PROPN
rear,en,2,NOUN
circuit,en,1,NOUN
wish,en,21,VERB
determined,en,4,ADJ
geography,en,1,NOUN
chamber,en,20,NOUN
moment,en,4,NOUN
grounds,en,1,NOUN
condition,en,2,NOUN
instance,en,5,NOUN
represent,en,19,VERB
watch,en,1,VERB
protect,en,1,VERB
philip,en,1,PROPN
mix,en,6,VERB
shift,en,3,NOUN
austrian,en,2,ADJ
door,en,14,NOUN
institution,en,2,NOUN
princess,en,11,NOUN
hundred,en,29,NUM
gray,en,1,ADJ
escape,en,3,VERB
corner,en,5,NOUN
mill,en,1,NOUN
mrs,en,10,PROPN
remember,en,6,VERB
spot,en,5,NOUN
progress,en,1,NOUN
learn,en,19,VERB
truth,en,31,NOUN
sufficient,en,1,ADJ
equal,en,4,ADJ
peer,en,1,NOUN
shape,en,22,NOUN
lincoln,en,1,PROPN
carry,en,30,VERB
legend,en,1,NOUN
strike,en,1,VERB
injury,en,1,NOUN
violence,en,1,NOUN
distinguished,en,2,ADJ
chapel,en,2,NOUN
herself,en,16,PRON
offensive,en,1,ADJ
dream,en,3,NOUN
enter,en,5,VERB
twelve,en,5,NUM
universal,en,2,ADJ
passenger,en,1,NOUN
parent,en,4,NOUN
column,en,3,NOUN
gay,en,8,ADJ
soul,en,11,NOUN
entrance,en,6,NOUN
string,en,3,NOUN
occur,en,1,VERB
pair,en,2,NOUN
flat,en,1,ADJ
sample,en,1,NOUN
arm,en,20,NOUN
canal,en,7,NOUN
whatever,en,10,DET
brain,en,1,NOUN
concerned,en,1,ADJ
controversy,en,1,NOUN
chain,en,3,NOUN
circle,en,3,NOUN
apart,en,1,ADV
opportunity,en,19,NOUN
determine,en,8,VERB
formal,en,4,ADJ
doubt,en,19,VERB
sell,en,7,VERB
senator,en,2,PROPN
manner,en,62,NOUN
lawyer,en,1,NOUN
gain,en,1,VERB
reader,en,1,NOUN
lawrence,en,3,PROPN
bear,en,13,VERB
perfect,en,9,ADJ
pan,en,1,NOUN
duty,en,3,NOUN
chair,en,8,NOUN
broad,en,9,ADJ
stuff,en,13,NOUN
ready,en,7,ADJ
pick,en,5,VERB
composition,en,2,NOUN
salt,en,1,NOUN
contribution,en,2,NOUN
retirement,en,3,NOUN
print,en,1,VERB
discovery,en,2,NOUN
assist,en,1,VERB
pierre,en,3,PROPN
frame,en,2,NOUN
assistance,en,1,NOUN
sale,en,2,NOUN
beautiful,en,35,ADJ
successor,en,2,NOUN
cabinet,en,9,NOUN
evening,en,5,NOUN
singing,en,3,NOUN
mail,en,1,NOUN
mode,en,1,NOUN
christopher,en,1,PROPN
priest,en,9,NOUN
reduce,en,3,VERB
trophy,en,1,NOUN
walk,en,12,VERB
snow,en,10,NOUN
shop,en,12,NOUN
coal,en,2,NOUN
error,en,2,NOUN
accident,en,3,NOUN
clean,en,11,ADJ
describe,en,16,VERB
ottoman,en,1,ADJ
wine,en,12,NOUN
landing,en,1,NOUN
saturday,en,1,PROPN
guess,en,10,VERB
drop,en,3,VERB
sarah,en,2,PROPN
fit,en,9,VERB
conduct,en,11,NOUN
extreme,en,6,ADJ
hence,en,7,ADV
vision,en,1,NOUN
demand,en,2,VERB
quick,en,2,ADV
fairly,en,3,ADV
scheme,en,2,NOUN
constant,en,2,ADJ
nova,en,2,PROPN
ceremony,en,19,NOUN
scholar,en,2,NOUN
hero,en,4,NOUN
hair,en,26,NOUN
fly,en,4,VERB
